full_name,a,e,i,om,w,q,ad,H,diameter,ma,E_rad,E_deg
(2023 FZ48),2.193,0.5747,5.41,179.13,325.56,0.933,3.45,29.52,,-172.16,-3.0546575407617023,-175.01898494345676
(2023 GA),1.079,0.1554,13.88,158.12,280.47,0.911,1.25,22.39,,47.56999999999999,0.9573158079428726,54.85015545628309
(2023 GB),1.849,0.4751,7.56,168.78,345.79,0.971,2.73,25.06,,-167.65,-2.9953003276686245,-171.61806714956475
(2023 GC),2.006,0.6214,2.43,346.5,134.49,0.759,3.25,24.16,,-160.24,-2.928270742752374,-167.77755483134985
(2023 GE),1.564,0.4221,9.28,16.38,226.15,0.904,2.22,27.53,,159.16000000000003,2.884992337877212,165.29788488794463
(2023 GF),0.7865,0.3864,4.3,193.6,206.76,0.483,1.09,24.62,,-133.28,-2.543684948577989,-145.7424119644706
(2023 GG),1.146,0.1959,17.29,199.65,60.78,0.922,1.37,23.36,,-175.29,-3.072844753308892,-176.06103546351812
(2023 GJ),1.871,0.5426,4.01,20.21,122.88,0.856,2.89,26.77,,-155.78,-2.8663447371420756,-164.22945606777628
(2023 GK),1.847,0.6621,28.29,20.18,83.86,0.624,3.07,22.36,,-142.8,-2.7469147947908894,-157.38662442356258
(2023 GL),1.165,0.2219,1.44,153.68,337.25,0.907,1.42,25.41,,-104.45,-2.0226284463927913,-115.88807350140962
(2023 GM),2.185,0.7073,7.1,206.08,81.27,0.64,3.73,22.6,,95.08999999999997,2.222131595209793,127.31876192819419
(2023 GP),1.115,0.4683,7.53,180.41,257.05,0.593,1.64,24.54,,-114.51,-2.3362520511061797,-133.857382407166
(2023 GQ),1.808,0.6453,13.74,21.12,264.87,0.641,2.98,28.42,,-172.75,-3.0646551120999375,-175.5918035865186
(2023 GS),1.278,0.3237,1.63,44.07,226.29,0.864,1.69,26.12,,72.44999999999999,1.5881423461527944,90.99385370055978
(2023 GU),2.583,0.6372,3.64,185.42,52.18,0.937,4.23,25.36,,172.87,3.0655551196729673,175.643370221983
(2023 GV),1.09,0.1654,6.88,29.3,91.98,0.91,1.27,25.67,,-12.449999999999989,-0.25977934431807326,-14.88426003410143
(2023 GX),0.7898,0.3317,1.17,17.49,23.34,0.528,1.05,26.71,,-137.04,-2.570969221457355,-147.30568564754154
(2023 GY),1.178,0.258,21.77,193.63,293.81,0.874,1.48,24.27,,-133.32,-2.4844699979957747,-142.34964521203398
(2023 GZ),1.132,0.2708,4.25,28.31,256.25,0.825,1.44,27.68,,-172.74,-3.041847870720397,-174.2850449131348
(2023 GA1),1.694,0.4229,8.04,28.75,236.8,0.978,2.41,23.87,,-140.79,-2.655003040251049,-152.12046880078734
(2023 GC1),1.277,0.2309,8.38,193.46,52.24,0.982,1.57,26.72,,151.83999999999997,2.7402995618868267,157.0075994976637
(2023 GD1),1.091,0.3578,32.6,199.6,261.1,0.701,1.48,23.61,,-117.55,-2.3148728825617972,-132.63244628007405
(2023 GE1),1.052,0.1242,26.51,200.82,280.58,0.921,1.18,25.42,,37.96000000000001,0.7469048377685564,42.79449490204172
(2023 GF1),1.959,0.5641,5.45,289.93,208.06,0.854,3.06,20.97,,179.3,3.133781548436379,179.55245664137647
(2023 GG1),1.163,0.194,16.45,32.33,246.94,0.938,1.39,24.91,,152.41000000000003,2.736510585449758,156.79050713914512
(2023 GJ1),1.396,0.2764,17.19,56.56,197.04,1.01,1.78,21.9,,-6.3799999999999955,-0.15365544856896315,-8.803808702191077
(2023 GK1),1.421,0.2982,20.56,30.38,119.02,0.997,1.84,24.07,,43.08000000000001,1.003353365634082,57.487913211079444
(2023 GM1),1.059,0.1934,2.59,199.32,91.88,0.854,1.26,27.29,,-106.04,-2.024574534553638,-115.99957613958652
(2023 GN1),1.739,0.6238,20.22,40.4,68.29,0.654,2.82,21.86,,-104.33,-2.2901458712813922,-131.21569289373446
(2023 GO1),1.474,0.3484,17.36,31.79,225.05,0.96,1.99,26.48,,-41.849999999999994,-1.0289070460647205,-58.95203125078106
(2023 GQ1),0.983,0.0436,2.73,24.81,304.22,0.94,1.03,30.27,,-59.040000000000006,-1.0686602525568805,-61.22972220489389
(2023 GR1),0.7184,0.4275,3.1,202.09,189.02,0.411,1.03,25.35,,83.87,1.872054693784533,107.26083297150944
(2023 GS1),2.185,0.897,2.87,350.58,64.68,0.225,4.15,21.65,,-164.16,-2.9956122978831874,-171.63594172619298
(2023 GT1),1.033,0.0256,4.75,23.43,155.18,1.006,1.06,28.26,,18.00999999999999,0.32244611984028604,18.474801787217956
(2023 GU1),1.033,0.2161,0.62,142.25,320.2,0.81,1.26,26.71,,69.96000000000001,1.4351471973471381,82.22787738801969
(2023 GY1),2.611,0.7341,9.53,167.35,136.45,0.694,4.53,19.97,,27.49000000000001,1.1497871889675013,65.87795326604868
(2023 GZ1),3.241,0.7553,45.84,87.38,20.79,0.793,5.69,17.57,,-16.669999999999987,-0.8665701980539359,-49.65081500030638
(2023 GA2),0.8141,0.6179,19.82,30.04,30.58,0.311,1.32,23.39,,96.67000000000002,2.1902877951126136,125.49424657896753
(2023 GB2),1.363,0.3498,7.41,193.85,299.45,0.886,1.84,25.7,,-143.24,-2.661552450024025,-152.4957223390806
(2023 GC2),1.004,0.1467,6.9,198.84,255.01,0.857,1.15,27.29,,127.25,2.327588560492702,133.36100095916254
(2023 GE2),1.165,0.1821,7.16,201.7,56.78,0.953,1.38,27.98,,166.31,2.9392523406200577,168.40675404147794
(2023 GF2),1.339,0.2688,2.47,189.14,50.74,0.979,1.7,25.53,,158.93,2.8508953326949626,163.34427039696607
(2023 GG2),1.966,0.7009,10.19,198.17,271.17,0.588,3.34,26.22,,-162.05,-2.9569724866897356,-169.42204362362585
(2023 GH2),1.562,0.3867,5.44,52.54,211.79,0.958,2.17,23.7,,-89.86,-1.9303279343563562,-110.59964371482543
(2023 GJ2),0.7428,0.3774,9.06,198.89,179.23,0.462,1.02,25.62,,7.759999999999991,0.216512424467286,12.405248134120512
(2023 GK2),1.502,0.3456,9.73,25.71,208.57,0.983,2.02,28.59,,-45.16,-1.0954802874834764,-62.76639701258131
(2023 GM2),2.033,0.5023,3.19,212.71,328.28,1.012,3.05,26.34,,150.17000000000002,2.7926836301044387,160.0089855202583
(2023 GO2),1.895,0.4893,6.58,31.08,204.49,0.968,2.82,26.55,,169.14999999999998,3.0143273730047397,172.70823654392825
(2023 GQ2),1.644,0.4017,36.84,53.82,349.37,0.984,2.3,19.86,,33.81999999999999,0.9065653525821858,51.94236855574866
(2023 GR2),2.463,0.8767,16.95,156.28,242.67,0.304,4.62,20.41,,-158.74,-2.943268707013253,-168.63687488478624
(2023 GS2),1.541,0.7104,15.75,187.01,135.95,0.446,2.64,22.17,,143.35000000000002,2.763905103691906,158.3600974162144
(2023 GX2),1.287,0.2872,6.75,197.34,305.68,0.917,1.66,27.54,,-144.61,-2.6575678355936447,-152.26742074923288
(2023 GY2),2.29,0.6,8.01,55.17,216.78,0.916,3.66,22.95,,71.53999999999999,1.8287560378447465,104.7800027275706
(2023 GZ2),1.726,0.5054,29.69,194.96,104.2,0.854,2.6,21.63,,-163.78,-2.9531677087219195,-169.20404590408563
(2023 GA3),1.046,0.3275,15.28,312.14,356.91,0.704,1.39,21.68,,-103.9,-2.096650388479441,-120.12921837433645
(2023 GF3),1.09,0.1597,3.16,56.08,213.41,0.916,1.26,24.89,,119.5,2.2135044042171783,126.82446029526409
(2023 GJ3),2.311,0.6734,2.37,105.72,181.74,0.755,3.87,23.75,,162.57,2.9593955881292797,169.56087710944382
(2023 GP3),2.01,0.5047,6.46,201.41,345.95,0.995,3.02,28.58,,154.32,2.8422325756925315,162.8479309817793
(2023 GW3),2.755,0.7784,15.73,102.69,219.73,0.61,4.9,20.27,,6.969999999999999,0.4835407985121105,27.704846977129648
(2023 HA),1.037,0.3,4.21,27.95,74.25,0.726,1.35,27.67,,54.77000000000001,1.239614441691964,71.0246757324154
(2023 HB),2.567,0.6393,3.3,26.89,216.74,0.926,4.21,30.47,,173.10000000000002,3.068103972602266,175.78940873743142
(2023 HD),1.795,0.5479,9.29,199.96,298.84,0.812,2.78,25.86,,-160.31,-2.9189290968878594,-167.2423179496073
(2023 HE),2.043,0.6011,2.7,206.66,297.71,0.815,3.27,27.68,,154.99,2.867682236163946,164.3060891168323
(2023 HF),1.427,0.4593,12.3,27.43,256.12,0.772,2.08,27.42,,-22.819999999999993,-0.6909996132777746,-39.59136148598853
(2023 HG),1.597,0.417,4.75,197.45,322.07,0.931,2.26,27.04,,-54.489999999999995,-1.3586842973437228,-77.84687592849312
(2023 HH),1.437,0.3951,4.57,207.95,58.35,0.869,2.0,28.97,,-23.360000000000014,-0.6453542452592975,-36.97607454420836
(2023 HJ),2.112,0.5359,1.39,187.88,49.26,0.98,3.24,27.63,,116.56,2.3973732539642825,137.35936936969824
(2023 HK),2.176,0.6347,6.03,30.06,240.85,0.795,3.56,27.19,,96.60000000000002,2.1993743269209993,126.01486650199945
(2023 HM),0.8342,0.6699,2.22,30.62,28.58,0.275,1.39,27.82,,43.25,1.4168304168474326,81.17840317111904
(2023 HN),2.455,0.6319,23.96,204.61,316.03,0.904,4.01,26.16,,-171.32,-3.0487077091367105,-174.6780847025313
(2023 HO),2.5,0.809,3.48,202.56,258.11,0.478,4.52,25.44,,-166.65,-3.012631682131315,-172.61108061352212
(2023 HP),1.947,0.5632,15.72,18.18,118.0,0.85,3.04,23.68,,-161.93,-2.939343444560309,-168.4119739127514
(2023 HS),1.545,0.429,0.35,49.58,102.33,0.883,2.21,27.64,,-31.97,-0.8918424769219361,-51.09880991812045
(2023 HT),1.912,0.517,1.87,27.6,221.07,0.923,2.9,29.98,,161.04000000000002,2.9228622771867645,167.46767258079853
(2023 HU),2.017,0.5901,6.61,184.12,316.44,0.827,3.21,24.3,,-162.17000000000002,-2.945420550844644,-168.76016645449621
(2023 HV),1.38,0.2727,1.84,204.67,24.84,1.004,1.76,26.91,,22.900000000000006,0.5398502577788898,30.931141339779913
(2023 HX),2.049,0.5604,5.3,5.02,252.93,0.901,3.2,24.8,,166.22000000000003,2.9872415757932687,171.15633467896373
(2023 HY),1.762,0.5806,4.52,25.81,104.63,0.739,2.78,28.38,,-158.76,-2.9062607545086787,-166.51647539785353
(2023 HZ),1.145,0.4337,3.87,203.34,261.61,0.648,1.64,29.08,,-85.4,-1.9008080920972905,-108.90828134148903
(2023 HA1),1.135,0.4874,10.93,196.18,124.58,0.582,1.69,24.55,,129.2,2.533441792334907,145.15552234284894
(2023 HB1),1.249,0.1947,22.99,26.75,154.14,1.006,1.49,26.08,,147.05,2.657176800131847,152.24501606763192
(2023 HC1),2.006,0.5353,7.13,205.57,318.7,0.932,3.08,27.41,,160.68,2.9213435085561885,167.3806535482097
(2023 HF1),1.146,0.1527,4.63,108.87,198.98,0.971,1.32,23.68,,141.7,2.5573552825982118,146.52566440836347
(2023 HG1),1.067,0.0885,2.21,200.35,81.1,0.973,1.16,26.33,,-118.33,-2.1398037083833814,-122.60172147681013
(2023 HJ1),1.577,0.3552,2.99,29.44,191.11,1.017,2.14,26.44,,-74.22,-1.649484275631323,-94.5084873668686
(2023 HK1),1.161,0.3738,12.87,18.04,289.0,0.727,1.6,24.75,,149.14,2.7467656564676464,157.37807942707707
(2023 HL1),0.8473,0.2158,4.99,53.68,333.0,0.664,1.03,25.25,,116.93,2.213550198418758,126.82708410974078
(2023 HO1),1.691,0.5434,10.66,175.05,148.5,0.772,2.61,20.87,,-165.74,-2.9800888480249,-170.74651356583016
(2023 HP1),1.844,0.4983,4.5,44.29,229.26,0.925,2.76,22.85,,170.97000000000003,3.036340024476962,173.96946856917896
(2023 HQ1),1.769,0.4424,28.75,205.94,323.41,0.987,2.55,24.67,,-165.51,-2.9659847150005176,-169.93840626984198
(2023 HR1),0.9761,0.3997,20.47,207.28,120.71,0.586,1.37,26.22,,-5.77000000000001,-0.16724025923569585,-9.582161018879162
(2023 HT1),1.693,0.5661,28.32,207.43,278.22,0.735,2.65,25.57,,-155.23,-2.8642650480806773,-164.11029866185862
(2023 HU1),1.866,0.6146,16.85,76.47,43.43,0.719,3.01,20.77,,-151.9,-2.8360395432742753,-162.49309636182556
(2023 HW1),1.751,0.4847,4.03,19.15,242.58,0.902,2.6,24.85,,-156.09,-2.8593011131966435,-163.82588614322572
(2023 HX1),2.453,0.6057,0.39,161.92,79.12,0.967,3.94,27.5,,173.18,3.067436453414339,175.75116270521914
(2023 HD2),2.833,0.6529,0.04,125.97,53.16,0.983,4.68,26.39,,-174.97,-3.088470037538255,-176.95629830355296
(2023 HF2),1.289,0.4934,23.94,205.95,266.51,0.653,1.92,25.11,,137.36,2.6362449705535127,151.04571057530626
(2023 HG2),1.777,0.4895,19.18,29.64,122.63,0.907,2.65,23.61,,-128.29,-2.5229561400905562,-144.55473872380574
(2023 HH2),1.295,0.2289,12.41,211.72,34.61,0.999,1.59,24.88,,67.85,1.410158932277073,80.79615526215076
(2023 HJ2),1.09,0.3754,2.75,29.45,284.64,0.681,1.5,27.39,,-141.8,-2.6515604908486092,-151.92322524926226
(2023 HL2),2.282,0.5577,3.94,202.51,36.32,1.009,3.56,25.54,,173.04000000000002,3.063580820631738,175.53025121942386
(2023 HM2),1.212,0.2323,9.45,187.21,324.92,0.931,1.49,23.86,,-164.76,-2.92542911625202,-167.614741625927
(2023 HO2),0.8793,0.4822,24.55,205.58,198.34,0.455,1.3,22.74,,22.349999999999994,0.7011448999104397,40.17264359199072
(2023 HQ2),3.368,0.7974,67.24,232.2,135.93,0.682,6.05,16.33,,-52.34,-1.7038567278352328,-97.62379939992941
(2023 HT2),1.247,0.231,32.02,208.16,316.88,0.959,1.54,25.32,,157.33999999999997,2.8192741179712617,161.53250825022104
(2023 HU2),0.8922,0.5539,17.8,205.35,229.23,0.398,1.39,24.77,,-80.01,-1.917398776305539,-109.85885752585601
(2023 HV2),1.615,0.4216,44.03,32.45,222.38,0.934,2.3,24.8,,162.02999999999997,2.9204377190202795,167.328755630675
(2023 HW2),1.545,0.4133,13.19,35.85,224.05,0.906,2.18,25.49,,159.31,2.8852671018485774,165.31362770386613
(2023 HX2),1.553,0.3592,9.54,196.48,347.39,0.995,2.11,25.23,,-47.33000000000001,-1.1546007289525977,-66.15374879171216
(2023 HA3),1.907,0.7025,11.19,152.2,181.13,0.567,3.25,20.75,,129.0,2.6084904868441963,149.45549579619785
(2023 HB3),1.077,0.3465,16.34,26.6,58.32,0.704,1.45,25.68,,-96.04,-1.9923759529991383,-114.1547333102059
(2023 HC3),0.9508,0.2508,3.84,245.19,195.0,0.712,1.19,23.94,,-152.04,-2.7494472846422098,-157.53172540370295
(2023 HE3),1.342,0.5722,5.77,210.36,102.83,0.574,2.11,26.88,,143.95999999999998,2.737536858339185,156.84930824433803
(2023 HF3),1.383,0.4129,5.94,30.23,108.81,0.812,1.95,29.16,,63.94,1.5284941417282816,87.57626333150165
(2023 HG3),0.8812,0.3987,1.81,13.57,60.45,0.53,1.23,26.63,,-38.379999999999995,-1.0068113445291467,-57.686040807411956
(2023 HH3),2.298,0.6123,6.24,213.15,48.15,0.891,3.7,27.14,,75.47,1.897176192567485,108.70018882681563
(2023 HK3),1.305,0.2688,0.3,339.68,280.44,0.954,1.66,27.97,,55.849999999999994,1.2279199512500798,70.35463078653936
(2023 HL3),2.331,0.6283,0.42,10.78,256.85,0.866,3.8,26.66,,168.57999999999998,3.0190666598183347,172.97977767624923
(2023 HM3),1.777,0.5221,37.12,31.3,115.36,0.849,2.7,24.97,,-159.96,-2.911104086162354,-166.79397786039124
(2023 HN3),2.139,0.5883,12.0,62.25,205.11,0.88,3.4,23.09,,166.57999999999998,2.9939262462531917,171.53933808375308
(2023 HS3),1.967,0.5767,7.35,175.15,133.47,0.832,3.1,20.95,,126.49000000000001,2.5359681984211857,145.30027474892887
(2023 HT3),0.8144,0.33,25.73,33.59,20.57,0.546,1.08,24.05,,142.11,2.639192469939998,151.21458985026925
(2023 HU3),0.9951,0.4293,31.91,210.81,241.1,0.568,1.42,25.01,,106.38,2.203007396664376,126.22302606497158
(2023 HW3),1.914,0.5159,19.3,32.61,219.33,0.927,2.9,28.91,,158.98000000000002,2.89876947262864,166.08725656298446
(2023 HZ3),1.444,0.3638,3.75,36.26,230.04,0.919,1.97,27.75,,-30.039999999999992,-0.7802022672079046,-44.70229707755104
(2023 HB4),0.7137,0.4615,5.32,211.47,165.98,0.384,1.04,26.84,,136.95999999999998,2.620250465016546,150.12929291263947
(2023 HD4),0.9447,0.4713,9.53,212.18,233.69,0.499,1.39,26.04,,-174.1,-3.07158560536478,-175.98889160053793
