full_name,a,e,i,om,w,q,ad,H,diameter,ma,E_rad,E_deg
(1997 YM9),1.096,0.104,7.84,94.69,51.75,0.982,1.21,24.36,,-97.31,-1.7996678905612926,-103.11337465437379
(1998 BY7),2.02,0.6087,3.28,121.87,90.61,0.79,3.25,21.47,,38.02000000000001,1.2390934343188496,70.99482420884075
(1998 BT13),2.452,0.599,1.42,123.27,353.39,0.983,3.92,26.5,,-96.98,-2.182875088782263,-125.06952979146854
(1998 BR26),1.642,0.4895,12.23,129.85,62.18,0.838,2.45,26.0,,-117.2,-2.382448977279481,-136.50427130337363
(1998 DX11),2.493,0.6046,6.52,335.01,162.19,0.986,4.0,27.0,,-176.13,-3.0994938378070054,-177.5879155331475
(1998 DV20),1.985,0.6083,19.69,150.81,261.38,0.777,3.19,20.3,,-152.21,-2.8382639880540563,-162.62054765946692
(1998 DK36),0.6923,0.416,2.02,151.46,180.04,0.404,0.98,25.01,,3.25,0.09702039708152647,5.55885927945485
(1998 EE3),2.328,0.6098,6.45,341.19,224.7,0.908,3.75,27.2,,170.97000000000003,3.043630962717591,174.38720855905757
(1998 EP4),1.56,0.4412,7.19,352.7,266.59,0.872,2.25,21.5,,-140.73,-2.6604038956253984,-152.4299150194981
(1998 FL5),1.545,0.3647,14.53,185.81,297.7,0.982,2.11,21.48,,-3.9799999999999898,-0.10921606521227516,-6.25761959168895
(1998 FG12),2.241,0.5811,8.66,21.92,98.19,0.939,3.54,21.0,,-75.28,-1.869288241921776,-107.10232695554737
(1998 HM1),1.406,0.3583,3.23,202.47,69.42,0.902,1.91,24.42,,149.36,2.7451706692458515,157.28669339089095
(1998 HT31),2.511,0.6928,6.79,213.9,80.42,0.771,4.25,20.8,,168.07,3.01846342242807,172.94521471974258
(1998 HP126),0.794,0.4723,0.74,183.6,241.11,0.419,1.17,25.77,,-133.9,-2.5860778160214224,-148.1713443504369
(1998 KH),1.65,0.7138,26.24,44.64,64.47,0.472,2.83,19.16,,-158.6,-2.922931632465284,-167.47164634554468
(1998 KD3),2.042,0.5098,29.47,241.25,324.8,1.001,3.08,20.6,,-23.379999999999995,-0.7588419851900517,-43.47844306871889
(1998 KO3),2.663,0.7758,54.82,65.21,75.61,0.597,4.73,19.5,,-164.53,-2.9892901991649317,-171.27371215197186
(1998 KY26),1.229,0.2001,1.49,84.18,210.0,0.983,1.47,25.7,30.0,-179.02,-3.1273402386072497,-179.18339677363124
(1998 LE),1.513,0.698,9.15,237.47,133.0,0.457,2.57,20.43,,62.99000000000001,1.7818890675118808,102.09472312893257
(1998 MV5),1.205,0.185,21.18,269.56,313.47,0.982,1.43,24.0,,-143.77,-2.6039937531095503,-149.1978519316085
(1998 QQ),1.243,0.6845,37.17,325.28,220.61,0.392,2.09,18.55,,120.95999999999998,2.513412586983492,144.007933409212
(1998 QA62),2.042,0.7415,24.84,180.78,273.96,0.528,3.56,19.34,,-77.58,-2.0214855186101506,-115.82258856317605
(1998 SH2),2.743,0.7139,2.43,6.08,268.72,0.785,4.7,20.89,383.0,-153.4,-2.8693187080446094,-164.39985204888617
(1998 SU4),1.148,0.5805,23.14,350.56,241.88,0.482,1.81,21.42,,-94.25,-2.135384469781777,-122.3485177562769
(1998 SD9),0.7025,0.5044,2.99,165.75,7.7,0.348,1.06,24.09,,53.05000000000001,1.4249414603818542,81.64313173308824
(1998 SY14),2.837,0.6695,3.47,39.64,22.54,0.938,4.74,20.68,,53.49000000000001,1.602735170871241,91.82996096810098
(1998 US18),2.603,0.6775,9.66,207.1,115.53,0.84,4.37,20.9,,-11.620000000000005,-0.5662884162059224,-32.445936235747126
(1998 UY24),1.366,0.3224,16.94,38.87,275.59,0.926,1.81,21.6,,-131.89,-2.495915529821774,-143.00542587994642
(1998 VS),1.4,0.2773,6.83,230.27,148.14,1.011,1.79,22.45,,-48.30000000000001,-1.0886870822167913,-62.3771750214342
(1998 VE31),1.051,0.1902,21.95,57.29,219.51,0.851,1.25,21.07,,-32.56999999999999,-0.68944110578126,-39.502065584098744
(1998 VD32),1.104,0.3164,1.95,1.12,152.02,0.755,1.45,22.65,,-130.04,-2.46719487606736,-141.35985363496192
(1998 WB2),1.972,0.5866,2.37,52.12,78.85,0.815,3.13,21.85,150.0,61.28,1.654103419542589,94.7731448179477
(1998 WL4),1.767,0.7329,23.68,225.84,41.92,0.472,3.06,19.49,,56.69999999999999,1.7149046981487743,98.25680147108119
(1998 XD12),1.399,0.6239,13.53,259.98,69.28,0.526,2.27,20.96,,-141.25,-2.720373594715053,-155.86592567600485
(1998 XN17),0.9829,0.2105,7.24,85.86,226.68,0.776,1.19,22.8,,170.91000000000003,3.010465465232806,172.48696552772765
(1999 AM10),1.801,0.5134,6.8,76.91,95.13,0.876,2.73,21.0,,162.97000000000003,2.9447637950797834,168.72253712099882
(1999 AO10),0.9121,0.1109,2.62,313.05,7.96,0.811,1.01,23.9,,-91.44,-1.7058196770961158,-97.73626810797633
(1999 CQ2),1.503,0.381,3.7,318.25,137.89,0.93,2.08,27.3,,-160.23,-2.8910151440977345,-165.64296626520573
(1999 CG9),1.062,0.0635,5.16,138.5,315.57,0.994,1.13,25.2,,38.50999999999999,0.7136954125872692,40.8917349990985
(1999 FR5),1.853,0.4787,3.86,355.75,149.07,0.966,2.74,23.4,,40.5,1.1422748175191155,65.44752608792157
(1999 FQ10),1.913,0.4808,1.07,163.5,335.11,0.993,2.83,23.2,,-166.44,-2.9815475903490105,-170.8300933443988
(1999 FN19),1.647,0.3917,2.26,190.06,36.82,1.002,2.29,22.5,,23.610000000000014,0.6487264258049343,37.16928625722949
(1999 FP19),1.943,0.519,15.09,346.6,274.48,0.935,2.95,20.26,,97.5,2.1391133558305087,122.56216718915442
(1999 FR19),1.545,0.4771,20.84,0.49,107.0,0.808,2.28,22.45,,164.42000000000002,2.9571635200778763,169.43298903051243
(1999 GL4),2.12,0.6026,7.26,178.36,293.92,0.842,3.4,19.88,,71.68,1.8330482688198868,105.0259294471415
(1999 GR6),1.343,0.7611,29.18,180.83,146.61,0.321,2.36,20.09,,-177.47,-3.1165180809741386,-178.5633328160287
(1999 HC1),2.039,0.5074,1.29,28.56,159.19,1.005,3.07,24.5,,-174.06,-3.0727986480878906,-176.05839382894123
(1999 JZ10),1.306,0.4732,25.92,54.48,80.02,0.688,1.92,22.22,,137.2,2.627348063160355,150.5359553309596
(1999 KL1),1.72,0.4288,9.67,64.8,116.85,0.983,2.46,21.5,,-158.47,-2.8776799399842834,-164.87891535055948
(1999 LW1),1.438,0.6821,6.67,204.52,168.63,0.457,2.42,20.52,,-95.53,-2.2133716766480203,-126.81685556572631
(1999 LX1),1.165,0.7268,19.81,251.99,133.36,0.318,2.01,21.12,,141.11,2.7441502861829847,157.22822974790205
(1999 LD6),1.814,0.4887,11.3,237.16,71.75,0.928,2.7,22.1,,164.02999999999997,2.9540022626360187,169.25186232113964
(1999 RA32),1.026,0.0904,10.52,167.58,8.93,0.933,1.12,21.33,,52.59,0.9936246957949022,56.93050148901821
(1999 RK33),2.473,0.5897,2.96,321.27,51.45,1.015,3.93,22.4,,175.16000000000003,3.088445085871485,176.95486867835518
(1999 SF10),1.279,0.2536,1.21,25.82,27.98,0.955,1.6,24.46,,-178.75,-3.12418930448564,-179.00286154693924
(1999 SG10),1.454,0.6134,23.56,13.37,103.43,0.562,2.35,20.76,,112.52999999999997,2.38505948298599,136.65384226275137
(1999 SH10),1.099,0.1309,9.59,178.48,119.12,0.955,1.24,22.75,,133.45,2.4160039787124425,138.42683126703776
(1999 SJ10),2.138,0.7091,6.87,131.82,128.98,0.622,3.65,19.72,,-24.94999999999999,-1.0508486704999211,-60.20919372657917
(1999 TY2),2.27,0.608,22.95,191.67,230.89,0.89,3.65,23.3,,38.25,1.2432672426572646,71.23396581112846
(1999 TM12),1.594,0.4654,28.68,199.13,250.63,0.852,2.34,21.6,,154.24,2.833239864912229,162.33268660768624
(1999 TN13),2.032,0.5263,9.49,202.18,217.3,0.962,3.1,23.6,,173.16000000000003,3.0633495004739677,175.51699755066733
(1999 TO13),1.583,0.4359,20.25,15.14,302.23,0.893,2.27,21.85,,-154.04,-2.8244442695843506,-161.8287361170938
(1999 TT16),2.157,0.6632,1.99,327.11,149.65,0.726,3.59,19.94,,-131.9,-2.6279529563029724,-150.57061315508798
(1999 TV16),1.578,0.41,1.1,344.96,86.07,0.931,2.23,23.4,,-142.52,-2.6727159110100045,-153.13534153833618
(1999 TW16),1.424,0.7348,34.69,28.16,134.82,0.378,2.47,19.51,,-90.85,-2.1857966269633806,-125.23692159893291
(1999 UR),1.898,0.504,3.59,50.64,18.26,0.942,2.86,21.5,,158.14999999999998,2.887115088120207,165.4195095178286
(1999 UZ5),2.59,0.7946,10.36,228.69,64.65,0.532,4.65,21.88,,-166.86,-3.0136457998178527,-172.66918527689032
(1999 VR6),2.185,0.7613,8.63,211.57,295.6,0.522,3.85,20.8,,172.10000000000002,3.0632743971827474,175.5126944490529
(1999 VK12),2.241,0.7758,9.51,48.96,102.73,0.502,3.98,23.67,,165.26999999999998,2.996598439858879,171.69244349940084
(1999 VV25),2.23,0.5586,7.47,232.05,204.28,0.985,3.48,25.1,,174.56,3.0806617106650847,176.50891412866167
(1999 VW25),0.9294,0.1116,10.76,232.11,354.58,0.826,1.03,25.39,,24.340000000000003,0.4759459707182115,27.26969539841059
(1999 VX25),0.8997,0.1391,1.66,55.31,151.76,0.775,1.02,26.7,,-155.98,-2.7725421182255237,-158.85496189658383
(1999 XS35),17.81,0.9473,19.61,48.82,333.27,0.939,34.69,17.69,,-55.28,-1.8700241616135604,-107.14449204794718
(1999 XK136),2.384,0.7028,2.66,63.32,302.91,0.708,4.06,20.56,811.0,-145.96,-2.789712192337684,-159.83873467713747
(1999 XN141),2.53,0.6207,7.38,88.54,307.99,0.96,4.1,22.6,,-169.87,-3.032419838133886,-173.74485843681592
(1999 YD),2.464,0.5933,1.38,9.34,61.87,1.002,3.93,21.1,,77.99000000000001,1.918897424255041,109.94472372833843
(2000 AA6),1.286,0.5194,2.03,279.69,287.77,0.618,1.95,22.44,316.0,38.78999999999999,1.1513992117173664,65.97031536609501
(2000 AB6),1.787,0.4763,3.8,282.78,133.7,0.936,2.64,22.4,,135.0,2.6012268763714026,149.03932157207976
(2000 AG6),1.017,0.1891,2.44,282.82,276.84,0.824,1.21,25.3,,-168.4,-2.9712000173220616,-170.23722108175122
(2000 AE205),1.165,0.1376,4.46,271.59,150.34,1.004,1.32,23.32,,68.69999999999999,1.3327613139505246,76.36159838767514
(2000 AH205),1.148,0.407,2.59,247.89,118.11,0.681,1.61,22.6,,-83.28,-1.8452748379686943,-105.72646025729301
(2000 BK19),2.404,0.5865,14.74,310.33,201.46,0.994,3.81,22.36,,135.13,2.640307655559617,151.27848527964716
(2000 BO19),1.201,0.3847,16.86,310.25,272.18,0.739,1.66,24.6,,132.51,2.5327521461080655,145.11600852469383
(2000 CM33),1.323,0.272,11.55,132.82,50.26,0.963,1.68,21.22,,138.16000000000003,2.5606286614732183,146.7132152026486
(2000 CO33),2.334,0.5647,18.21,319.73,178.83,1.016,3.65,21.1,,-179.32,-3.1340076341070984,-179.56541039611707
(2000 CK59),1.477,0.3114,5.71,139.19,341.51,1.017,1.94,24.1,,-42.599999999999994,-1.0066588630296498,-57.67730426103695
(2000 CP101),1.775,0.6195,10.44,160.19,247.96,0.675,2.87,19.9,,169.29000000000002,3.026073156967587,173.38122039207184
(2000 DN1),2.843,0.6809,8.04,41.15,148.11,0.907,4.78,19.9,,-94.09,-2.194772626589729,-125.75120849443367
(2000 DL8),2.194,0.6101,8.77,61.82,354.16,0.855,3.53,19.11,,175.04000000000002,3.0878170239257847,176.9188833795938
(2000 DO8),2.467,0.6182,0.28,94.94,96.34,0.942,3.99,24.8,,34.34,1.1680931283077811,66.92680633026919
(2000 EB14),0.8955,0.4956,11.57,162.78,139.65,0.452,1.34,23.43,,-144.66,-2.725231408045957,-156.14425787752805
(2000 EM26),0.8172,0.4667,3.84,344.91,24.42,0.436,1.2,22.51,,-119.44,-2.3998957871985303,-137.5038998777021
(2000 EU70),2.216,0.7674,13.02,165.25,254.18,0.515,3.92,18.7,,122.88,2.5637977062194985,146.89478809169862
(2000 EY106),1.692,0.4546,38.18,359.75,102.66,0.923,2.46,19.42,,96.69,2.083669287544738,119.38545607734466
(2000 EZ106),0.9282,0.4466,40.2,358.53,313.95,0.514,1.34,20.5,,94.43,2.045361347855721,117.19057281132223
(2000 GB2),2.472,0.5953,7.12,187.45,254.55,1.0,3.94,18.67,,78.52999999999997,1.9282736872667992,110.48194402651677
(2000 GW127),2.247,0.7272,6.65,127.1,332.81,0.613,3.88,19.4,477.0,55.360000000000014,1.6883919400236864,96.73773232726245
(2000 HB24),0.8151,0.4304,2.67,55.04,18.02,0.464,1.17,23.7,,-172.75,-3.0530956817939816,-174.92949701641172
(2000 HO40),0.7462,0.5171,5.84,29.93,6.47,0.36,1.13,22.3,,-124.39,-2.4861803528759205,-142.44764132813594
(2000 JF5),2.048,0.5551,13.71,58.12,216.9,0.911,3.18,21.81,,167.01,2.9956176423257577,171.63624794019609
(2000 KA),1.332,0.462,6.73,62.43,83.31,0.717,1.95,21.75,,70.30000000000001,1.68590888457567,96.59546372979412
(2000 KE41),2.993,0.8674,50.34,64.79,56.99,0.397,5.59,17.44,,160.19,2.9559478648871576,169.36333711874101
(2000 KP44),1.912,0.7515,28.22,227.22,135.3,0.475,3.35,19.03,,23.139999999999986,1.0591212328590605,60.683176635516645
(2000 LD3),1.439,0.7407,37.17,74.29,47.17,0.373,2.5,19.54,,-146.49,-2.8028608985655152,-160.59210005004957
(2000 LF3),2.597,0.6545,14.59,81.88,224.23,0.897,4.3,21.61,,-150.36,-2.8268757597174976,-161.96805023965084
(2000 LG6),0.9171,0.1105,2.83,72.52,8.15,0.816,1.02,29.0,,-8.939999999999998,-0.17530451882866954,-10.044209058454442
(2000 OK8),0.9846,0.2208,9.98,304.55,166.28,0.767,1.2,20.2,,-8.430000000000007,-0.1885076788070245,-10.800694401450215
(2000 PN),1.022,0.7624,22.87,128.79,37.71,0.243,1.8,22.95,,-126.06,-2.5958730498574107,-148.73256990858278
(2000 PE3),2.297,0.6556,17.5,315.34,276.19,0.791,3.8,20.5,,-68.14,-1.8239686035736473,-104.50570294914036
(2000 PY5),2.313,0.6029,3.79,147.26,94.82,0.918,3.71,21.1,,-98.09,-2.1995836329622254,-126.02685885478826
(2000 PN8),1.253,0.2171,22.4,142.73,112.35,0.981,1.52,22.04,,-120.66,-2.2718184708759,-130.1656102010534
(2000 QS7),2.672,0.6667,3.2,153.4,218.94,0.891,4.45,19.48,,84.50999999999999,2.062647290376852,118.18098436268883
(2000 QV7),1.409,0.5229,9.12,154.7,79.66,0.672,2.15,21.55,,-106.81,-2.2658001683466567,-129.82078686629484
(2000 QX69),1.01,0.2714,4.58,150.09,74.24,0.736,1.28,24.2,,-154.07,-2.784019340311039,-159.5125582826182
(2000 RK12),2.523,0.6886,31.98,162.24,250.87,0.786,4.26,22.06,,167.51999999999998,3.0124536923139247,172.60088254818936
(2000 RN12),2.29,0.616,16.87,337.44,80.67,0.879,3.7,20.0,,-100.49,-2.237843095954976,-128.21896461070983
(2000 RE52),1.154,0.2478,18.46,344.14,258.19,0.868,1.44,22.33,149.0,8.129999999999995,0.18827456425130745,10.787337921264566
(2000 SE8),2.482,0.5984,0.65,99.12,234.31,0.997,3.97,23.0,,-23.75,-0.873074190064193,-50.02346629248092
(2000 SG8),2.474,0.8986,24.24,337.94,152.3,0.251,4.7,17.71,,-20.30000000000001,-1.1877961337008247,-68.0557053830141
(2000 SL10),1.372,0.3387,1.46,208.68,78.67,0.907,1.84,22.16,,93.88,1.952801295993501,111.88727248810505
(2000 SM10),1.665,0.5406,0.55,259.67,177.62,0.765,2.57,24.1,,57.120000000000005,1.5372275055256186,88.07664821804138
(2000 SB45),1.564,0.3984,3.67,195.58,216.19,0.941,2.19,24.5,,161.23000000000002,2.906712545619457,166.54236112172265
(2000 SZ162),0.9289,0.1677,0.89,12.51,132.96,0.773,1.08,27.3,,75.15,1.4786027412798455,84.71769665180915
(2000 SG344),0.9774,0.0669,0.11,191.77,275.56,0.912,1.04,24.7,,95.66000000000003,1.7355757723833247,99.44116678272252
(2000 TL1),1.338,0.3002,3.61,27.18,279.45,0.936,1.74,23.5,,-56.11,-1.265634506970509,-72.51551565553093
(2000 TU28),1.073,0.1828,15.6,202.98,280.96,0.877,1.27,21.05,,-46.370000000000005,-0.9589469037880604,-54.943610364193674
(2000 UK11),0.8833,0.2485,0.79,236.91,294.1,0.664,1.1,25.3,,135.05,2.504825145022786,143.51590922804996
(2000 UR16),0.9047,0.4388,11.75,33.73,228.87,0.508,1.3,23.9,,-39.75999999999999,-1.0811923142077766,-61.94775644608799
(2000 UO30),1.809,0.4508,12.59,40.07,30.49,0.993,2.62,23.9,,-81.25,-1.8512653319927794,-106.06969028207143
(2000 UQ30),1.747,0.4551,4.26,60.16,37.92,0.952,2.54,21.97,,107.64999999999998,2.2367147131262985,128.15431303695158
(2000 VZ44),2.058,0.7374,5.29,8.64,128.49,0.54,3.58,21.04,,162.11,2.9614634164957176,169.67935494759809
(2000 WC1),0.8784,0.2621,17.42,50.76,230.21,0.648,1.11,22.57,,46.91,1.0454958775833019,59.902501283849375
(2000 WG10),1.163,0.2053,6.31,49.7,74.05,0.925,1.4,23.4,,135.02999999999997,2.4824516203820193,142.2340006933021
(2000 WH10),2.523,0.6616,13.27,50.35,63.26,0.854,4.19,22.42,,170.12,3.0377397570258156,174.04966733667538
(2000 WS28),2.063,0.5654,7.75,57.73,49.85,0.897,3.23,23.4,,168.45999999999998,3.0127999201429265,172.62071994154115
(2000 WT28),2.557,0.6053,5.5,46.2,21.29,1.009,4.1,24.5,,-140.22,-2.7038725757074853,-154.92048692920608
(2000 WG63),1.91,0.4746,9.19,243.33,185.78,1.004,2.82,23.2,,-15.439999999999998,-0.49487783734429047,-28.354411454389492
(2000 WM63),1.03,0.1565,20.14,74.47,214.51,0.869,1.19,20.42,,-83.32,-1.6105844718034839,-92.27969278364657
(2000 WJ107),1.948,0.5576,5.99,237.69,127.59,0.862,3.03,23.8,,-92.97,-2.1030868902077033,-120.49800275819454
(2000 WL107),2.902,0.6539,4.91,251.09,184.66,1.004,4.8,24.8,,-172.7,-3.064526989117117,-175.58446268034436
(2000 WM107),2.54,0.6086,19.36,71.37,281.17,0.994,4.09,18.97,,-98.97,-2.214249766858824,-126.86716642883712
(2000 WQ148),2.029,0.5918,1.88,224.12,276.13,0.828,3.23,22.7,,163.32999999999998,2.9584343335193855,169.50580127725937
(2000 XJ44),2.133,0.7072,10.6,286.64,52.51,0.625,3.64,20.14,,-157.8,-2.9138206906151267,-166.94962783014157
(2000 YA),2.374,0.6513,2.65,83.14,61.24,0.828,3.92,23.88,,89.69,2.120675989334291,121.50578390358521
(2000 YS134),0.8556,0.2242,3.52,96.79,190.13,0.664,1.05,24.02,,127.75,2.3837614905585607,136.57947277481975
(2001 AV43),1.284,0.2409,0.2,20.53,51.28,0.974,1.59,24.6,,-97.42,-1.9261492320339089,-110.36022170790768
(2001 BF10),1.611,0.4405,1.49,37.4,133.19,0.902,2.32,22.6,,-150.81,-2.7856385907690795,-159.60533449983853
(2001 BX15),1.924,0.5913,12.15,107.44,87.78,0.786,3.06,21.75,,-88.86,-2.0700309597244173,-118.60403745362441
(2001 BA16),0.94,0.1374,5.77,115.26,243.15,0.811,1.07,26.0,,13.189999999999998,0.26637794866411735,15.262332213806417
(2001 BB16),0.8554,0.1724,2.03,122.32,196.08,0.708,1.0,23.2,,122.94999999999999,2.2770445876064,130.46504463295378
(2001 BC16),1.71,0.4426,10.2,122.06,44.65,0.953,2.47,23.9,,-160.63,-2.9065828868196073,-166.53493221971453
(2001 BD16),1.618,0.6808,18.1,119.54,246.66,0.516,2.72,20.22,,-128.02,-2.590721471630974,-148.43740621837645
(2001 BE16),1.255,0.4038,39.39,121.89,106.17,0.748,1.76,20.07,,-5.27000000000001,-0.15386446268448165,-8.815784328868943
(2001 BB40),1.64,0.3866,16.74,123.17,342.77,1.006,2.27,24.6,,-172.39,-3.0457638405804275,-174.509413458815
(2001 BN61),1.83,0.4643,9.73,118.98,334.0,0.98,2.68,25.0,,-170.88,-3.0328215325172985,-173.76787382963957
(2001 CA21),1.663,0.7752,4.96,46.65,218.63,0.374,2.95,18.77,,156.26999999999998,2.9073527904338246,166.57904444744105
(2001 CP36),0.7146,0.4072,10.55,330.93,353.62,0.424,1.01,23.92,,2.6100000000000136,0.07679212116643248,4.399864442693826
(2001 CQ36),0.9374,0.1773,1.26,30.54,344.89,0.771,1.1,22.74,,15.150000000000006,0.32022848537956644,18.347740692115934
(2001 DG47),1.446,0.3276,16.85,151.78,299.19,0.972,1.92,23.0,,-67.81,-1.5105126774379527,-86.54600131820058
(2001 DZ76),2.379,0.6119,5.83,152.21,37.78,0.923,3.84,25.3,,172.64999999999998,3.061976578755973,175.43833493062436
(2001 EC),2.598,0.7656,0.61,315.76,116.05,0.609,4.59,18.65,,168.92000000000002,3.0319695929952597,173.7190612906263
(2001 EC16),1.346,0.364,4.71,175.47,70.6,0.856,1.84,22.42,,78.79000000000002,1.7342908040084382,99.36754351803376
(2001 ED18),0.9893,0.0573,11.63,357.76,306.74,0.933,1.05,24.5,,87.01999999999998,1.5760847138317096,90.30300225764108
(2001 FP32),1.36,0.3337,29.3,182.62,64.65,0.906,1.81,23.87,,144.82,2.6770793328811755,153.38534719578934
(2001 FA58),2.256,0.7196,8.22,155.81,114.55,0.633,3.88,21.44,,-101.29,-2.3030085754464134,-131.9526715555155
(2001 FC58),1.021,0.3434,6.77,174.6,261.26,0.67,1.37,20.6,,-130.91,-2.492408448349329,-142.8044849131668
(2001 FR85),0.9828,0.0279,5.25,183.02,233.61,0.955,1.01,24.8,,53.650000000000006,0.9592119719550293,54.95879765144426
(2001 FB90),2.403,0.7713,1.83,264.14,16.73,0.549,4.26,20.14,,28.819999999999993,1.2299265717787893,70.46960167391873
(2001 FF90),2.586,0.6288,23.31,354.31,291.43,0.96,4.21,17.26,,117.52999999999997,2.4515572291953704,140.46388246768095
(2001 FN91),1.611,0.3938,63.45,178.42,327.21,0.977,2.25,21.38,,25.78,0.7052022605226046,40.405113231030384
(2001 FO127),0.8884,0.1582,7.31,189.1,200.95,0.748,1.03,27.5,,134.12,2.442625771315589,139.95214762627063
(2001 FR128),1.244,0.404,45.33,183.9,123.32,0.742,1.75,19.88,,32.18000000000001,0.8705893117927875,49.881093254925645
(2001 GL2),2.654,0.6416,35.08,192.55,42.43,0.951,4.36,20.47,,172.76,3.0645881149698915,175.58796493372745
(2001 GM2),1.678,0.4849,21.17,37.39,100.53,0.864,2.49,20.41,,-42.0,-1.1816915458747976,-67.70593826491582
(2001 GO2),1.007,0.1683,4.62,193.5,265.56,0.837,1.18,24.3,,38.43000000000001,0.7903204395067926,45.2820256466635
(2001 GP2),1.035,0.0723,1.29,195.74,108.9,0.96,1.11,26.4,,-164.51,-2.8892897359682674,-165.5441076614497
(2001 GR2),1.863,0.6222,11.83,189.95,99.65,0.704,3.02,21.85,,42.120000000000005,1.340972957041247,76.83209087964133
(2001 GT2),2.403,0.6298,3.73,145.99,359.53,0.89,3.92,19.8,,51.84,1.5341559733983428,87.90066239050964
(2001 HJ31),2.069,0.5857,2.84,21.36,132.12,0.857,3.28,23.8,,-164.49,-2.9705715664132093,-170.20121349704283
(2001 HL31),2.47,0.7867,13.53,31.16,294.09,0.527,4.41,20.27,,-83.84,-2.13010738174013,-122.04616288337157
(2001 JV1),1.705,0.4361,6.62,92.21,201.06,0.961,2.45,21.5,,162.57999999999998,2.9294004556952413,167.84228261503745
(2001 KM20),1.184,0.2092,3.73,56.02,251.63,0.936,1.43,23.91,,141.20999999999998,2.576589060334812,147.62767869676338
(2001 KF54),2.338,0.6501,1.63,172.48,170.87,0.818,3.86,19.81,,94.18,2.1777400117665953,124.77531155099615
(2001 KU66),1.293,0.2253,18.94,68.45,149.21,1.002,1.58,24.1,,73.41,1.5060744871418166,86.29171174555609
(2001 LD),1.421,0.3757,30.16,79.22,114.34,0.887,1.95,20.73,,9.900000000000006,0.27469890446966577,15.739087862979233
(2001 MS3),2.131,0.5354,4.39,273.14,319.1,0.99,3.27,24.0,,-168.99,-3.0163249584975054,-172.82268976188027
(2001 ND13),1.507,0.4353,8.43,171.94,195.25,0.851,2.16,21.63,,-155.57999999999998,-2.843309177070682,-162.90961569696535
(2001 OT),0.934,0.3228,12.06,295.77,143.01,0.633,1.24,21.7,,58.91999999999999,1.342793882858662,76.93642224378561
(2001 OC36),1.402,0.4757,2.29,106.27,288.73,0.735,2.07,22.9,,142.99,2.699266364303717,154.65657045622515
(2001 PG14),1.474,0.3355,10.74,154.63,115.55,0.979,1.97,22.5,,50.75,1.1982391565172357,68.6540465157533
(2001 PJ29),1.45,0.3925,6.65,328.62,69.31,0.881,2.02,23.0,,148.81,2.74781774086606,157.43835942279776
(2001 QE34),2.161,0.7325,5.62,279.25,314.64,0.578,3.74,19.09,,79.75999999999999,2.0440616627860693,117.11610634213503
(2001 QE71),1.078,0.1587,3.04,148.37,96.43,0.907,1.25,24.4,,125.39999999999998,2.306316092107326,132.142178300855
(2001 QF96),1.546,0.3629,6.65,158.75,224.41,0.985,2.11,24.5,,19.409999999999997,0.5186658989370967,29.717366986454522
(2001 QJ96),1.592,0.7971,5.87,338.48,121.94,0.323,2.86,22.27,,179.83999999999997,3.1400387460155574,179.91096765424288
(2001 QJ142),1.063,0.087,3.09,183.7,63.0,0.971,1.16,23.98,,-51.74000000000001,-0.975045647775786,-55.86600045015196
(2001 QM142),1.235,0.4283,5.85,151.22,292.76,0.706,1.76,22.54,,-6.9199999999999875,-0.21010352416911418,-12.038045195715142
(2001 QN142),3.146,0.6789,10.27,159.51,115.55,1.01,5.28,21.75,,-21.599999999999994,-0.9151055533644261,-52.431686016765354
(2001 QO142),2.128,0.7467,5.5,262.12,200.17,0.539,3.72,19.3,,78.73000000000002,2.0400753879025686,116.88770961533146
(2001 QK153),2.442,0.6878,7.56,260.58,2.73,0.762,4.12,20.74,,-35.66999999999999,-1.2818449629509654,-73.44430636719369
(2001 QL163),1.76,0.4425,8.17,324.48,54.33,0.981,2.54,22.6,,163.57999999999998,2.9425189959658082,168.59391960591336
(2001 QM163),2.317,0.7364,9.36,87.58,166.61,0.611,4.02,19.8,,136.88,2.702238281425143,154.82684876434553
(2001 RO3),2.491,0.5975,8.68,345.12,16.27,1.003,3.98,23.5,,-129.82,-2.582639874472024,-147.9743648094437
(2001 RQ17),2.004,0.4949,1.33,30.27,285.09,1.012,3.0,22.67,,22.0,0.7044933808465451,40.36449741740958
(2001 RW17),2.359,0.6599,8.71,158.06,97.48,0.802,3.91,20.22,,94.92000000000002,2.192926817607858,125.64545142998509
(2001 SQ3),1.11,0.2545,23.9,356.14,268.3,0.827,1.39,21.95,,125.66000000000003,2.3705394812826213,135.82190744662557
(2001 SY169),1.206,0.3843,4.85,171.27,82.0,0.742,1.67,23.1,,-9.110000000000014,-0.2564922098084937,-14.695921100010708
(2001 SB170),1.361,0.4639,34.52,356.7,261.35,0.73,1.99,22.6,,-130.31,-2.5377467458609093,-145.40217801088883
(2001 SP263),2.004,0.5421,1.51,178.28,227.26,0.917,3.09,25.7,,-6.3799999999999955,-0.24044480470280866,-13.776472515318261
(2001 SQ263),0.947,0.4914,3.94,327.05,262.62,0.482,1.41,22.4,,-34.71000000000001,-1.0260874903482242,-58.79048260812384
(2001 SY269),1.68,0.5974,1.86,232.11,223.89,0.676,2.68,21.5,,-172.15,-3.055783694034265,-175.08350877305946
